date,weekday,momo_low,momo_avg,momo_high,momo_vol,mune_low,mune_avg,mune_high,mune_vol,market_price,transaction_price
2025-11-01,?,653,732,909,,495,555,685,,208,218
2025-11-02,?,11,1,3,729.8,1,555,5,1285.4,80,90
2025-11-04,?,648,732,935,215,487,548,690,175,207,217
2025-11-06,?,622,732,937,271,487,555,702,200,208,218
2025-11-07,?,677,736,943,213,485,551,713,196,208,218
2025-11-08,?,626,731,911,,472,538,695,,206,216
2025-11-09,?,11,8,2,732.75,7,548,4,1280.75,80,90
2025-11-10,?,656,730,939,206,491,550,705,167,207,217
2025-11-11,?,665,736,938,181,467,545,710,150,208,218
2025-11-13,?,647,718,922,232,474,546,684,162,204,214
2025-11-14,?,655,737,924,224,480,552,708,181,209,219
2025-11-15,?,655,730,918,,480,536,650,,205,215
2025-11-16,?,11,15,2,730.2,2,545,4,1276,81,91
2025-11-17,?,668,740,940,200,496,545,688,159,208,218
2025-11-18,?,652,743,944,174,483,542,690,149,208,218
2025-11-20,?,660,735,937,186,476,545,688,149,207,217
2025-11-21,?,653,738,941,225,479,548,689,187,208,218
2025-11-22,?,649,732,922,,491,532,661,,205,215
2025-11-23,?,11,22,7,737.6,3,542,4,1280,81,91
2025-11-25,?,666,747,927,210,470,542,693,156,209,219
2025-11-27,?,637,745,937,259,485,547,711,210,209,219
2025-11-28,?,652,743,933,224,479,542,681,173,208,218
2025-11-29,?,674,742,932,,470,545,681,,209,219
2025-11-30,?,11,29,6,744.25,1,544,8,1288.25,83,93
2025-12-01,?,661,751,952,217,479,543,693,161,210,220
2025-12-02,?,688,748,942,174,484,542,701,134,209,219
2025-12-04,?,648,753,932,206,490,543,706,161,210,220
